first_name,last_name,emp_no,title,from_date,to_date,birth_date
Dannz,Spelt,12417,Senior Engineer,1998-02-02,9999-01-01,1955-11-18
Shai,Milicic,12464,Staff,1998-06-01,9999-01-01,1955-09-08
Arnould,Munck,12489,Senior Engineer,1986-04-11,9999-01-01,1955-01-23
Jackson,Muchinsky,12490,Engineer,1994-05-09,2000-05-08,1955-08-08
Jackson,Muchinsky,12490,Senior Engineer,2000-05-08,9999-01-01,1955-08-08
Breannda,Roisin,12596,Senior Staff,1996-09-29,9999-01-01,1955-10-10
Ghassan,Simkin,12601,Assistant Engineer,1992-07-09,1997-07-09,1955-08-16
Ghassan,Simkin,12601,Engineer,1997-07-09,2002-07-09,1955-08-16
Ghassan,Simkin,12601,Senior Engineer,2002-07-09,9999-01-01,1955-08-16
Nectarios,Mondadori,12608,Senior Staff,2000-02-22,9999-01-01,1955-10-27
Nectarios,Mondadori,12608,Staff,1991-02-22,2000-02-22,1955-10-27
Suebskul,Gips,12642,Senior Staff,2001-10-28,9999-01-01,1955-09-27
Suebskul,Gips,12642,Staff,1996-10-28,2001-10-28,1955-09-27
Uri,Brizzi,12697,Senior Staff,1994-07-11,9999-01-01,1955-06-25
Uri,Brizzi,12697,Staff,1986-07-11,1994-07-11,1955-06-25
Ronghao,Botman,12709,Engineer,1995-02-26,2001-02-25,1955-08-09
Ronghao,Botman,12709,Senior Engineer,2001-02-25,9999-01-01,1955-08-09
Elliott,Cheshire,12722,Senior Staff,1985-03-29,9999-01-01,1955-09-23
Rildo,Rodite,12755,Senior Staff,1994-03-18,9999-01-01,1955-02-20
Rildo,Rodite,12755,Staff,1987-03-18,1994-03-18,1955-02-20
Sushant,Junot,12815,Senior Staff,1993-02-27,9999-01-01,1955-03-25
Sushant,Junot,12815,Staff,1985-02-27,1993-02-27,1955-03-25
Baruch,Eugenio,12879,Engineer,1990-06-11,1995-06-11,1955-09-07
Baruch,Eugenio,12879,Senior Engineer,1995-06-11,9999-01-01,1955-09-07
Neven,Casley,12890,Senior Staff,1985-10-31,9999-01-01,1955-10-05
Munehiro,Gecsei,12905,Engineer,1987-07-19,1993-07-18,1955-01-24
Munehiro,Gecsei,12905,Senior Engineer,1993-07-18,9999-01-01,1955-01-24
Geoff,Asrin,12949,Engineer,1987-02-12,1992-02-12,1955-02-24
Geoff,Asrin,12949,Senior Engineer,1992-02-12,9999-01-01,1955-02-24
Yahiko,Kroll,13030,Senior Staff,1999-11-25,9999-01-01,1955-02-12
Yahiko,Kroll,13030,Staff,1993-11-25,1999-11-25,1955-02-12
Rosella,Morrin,13075,Senior Staff,1991-08-17,9999-01-01,1955-05-24
Rosella,Morrin,13075,Staff,1986-08-17,1991-08-17,1955-05-24
Quingbo,Garnick,13124,Senior Staff,1985-03-17,9999-01-01,1955-11-06
Guther,Senzako,13133,Senior Staff,1991-09-03,9999-01-01,1955-06-21
Guther,Senzako,13133,Staff,1985-09-03,1991-09-03,1955-06-21
Lorien,Chepyzhov,13134,Engineer,1987-10-23,1993-10-22,1955-06-25
Lorien,Chepyzhov,13134,Senior Engineer,1993-10-22,9999-01-01,1955-06-25
Shichao,Ginesta,13147,Senior Staff,1998-06-29,9999-01-01,1955-12-28
Shichao,Ginesta,13147,Staff,1993-06-29,1998-06-29,1955-12-28
Cheong,Bernardeschi,13170,Senior Staff,1998-01-09,9999-01-01,1955-10-25
Cheong,Bernardeschi,13170,Staff,1993-01-09,1998-01-09,1955-10-25
Moty,Janocha,13179,Staff,1999-02-19,9999-01-01,1955-09-09
Kyoichi,Barbanera,13186,Senior Staff,1995-04-29,9999-01-01,1955-06-19
Kyoichi,Barbanera,13186,Staff,1986-04-29,1995-04-29,1955-06-19
Mitchel,Fujisaki,13232,Technique Leader,1986-06-02,9999-01-01,1955-01-29
King,Pileggi,13240,Engineer,1994-03-10,2001-03-10,1955-02-14
King,Pileggi,13240,Senior Engineer,2001-03-10,9999-01-01,1955-02-14
Yechiam,Seuren,13276,Senior Staff,1991-03-09,9999-01-01,1955-05-07
Yechiam,Seuren,13276,Staff,1986-03-09,1991-03-09,1955-05-07
Sakthirel,Stroustrup,13315,Engineer,1991-06-02,1999-06-02,1955-09-08
Sakthirel,Stroustrup,13315,Senior Engineer,1999-06-02,9999-01-01,1955-09-08
Augustine,Dulli,13402,Engineer,1999-09-12,9999-01-01,1955-05-15
Nathalie,Speer,13415,Technique Leader,1991-04-25,9999-01-01,1955-06-23
Shooichi,Parfitt,13457,Engineer,1986-01-18,1991-01-18,1955-06-27
Shooichi,Parfitt,13457,Senior Engineer,1991-01-18,9999-01-01,1955-06-27
Chaoyi,Porotnikoff,13524,Senior Staff,2000-10-27,9999-01-01,1955-11-06
Chaoyi,Porotnikoff,13524,Staff,1995-10-28,2000-10-27,1955-11-06
Aimee,Brookner,13546,Engineer,1988-10-26,1997-10-26,1955-02-22
Aimee,Brookner,13546,Senior Engineer,1997-10-26,9999-01-01,1955-02-22
Ingmar,Capobianchi,13552,Senior Staff,1993-03-23,9999-01-01,1955-03-23
Ingmar,Capobianchi,13552,Staff,1985-03-23,1993-03-23,1955-03-23
Kristen,Iivonen,13653,Senior Staff,2000-01-17,9999-01-01,1955-01-01
Kristen,Iivonen,13653,Staff,1991-01-17,2000-01-17,1955-01-01
Vishu,Kumaresan,13704,Engineer,1987-10-01,1995-10-01,1955-05-26
Vishu,Kumaresan,13704,Senior Engineer,1995-10-01,9999-01-01,1955-05-26
Yakichi,Trogemann,13769,Senior Staff,1988-10-18,9999-01-01,1955-10-07
Arve,Maierhofer,13775,Senior Staff,1994-10-21,9999-01-01,1955-06-30
Arve,Maierhofer,13775,Staff,1987-10-21,1994-10-21,1955-06-30
Arlette,Pell,13825,Technique Leader,1986-08-02,9999-01-01,1955-06-12
Maris,Ghelli,13962,Senior Engineer,1994-10-26,9999-01-01,1955-11-14
Ulises,Kenevan,13992,Senior Staff,1994-07-27,9999-01-01,1955-09-27
Ulises,Kenevan,13992,Staff,1988-07-27,1994-07-27,1955-09-27
Vojin,Stellhorn,14005,Technique Leader,1985-05-10,9999-01-01,1955-04-08
Godehard,Trachtenberg,14067,Engineer,1994-02-14,2000-02-14,1955-04-03
Godehard,Trachtenberg,14067,Senior Engineer,2000-02-14,9999-01-01,1955-04-03
Leszek,Cummings,14111,Senior Staff,1999-09-26,9999-01-01,1955-03-27
Leszek,Cummings,14111,Staff,1992-09-25,1999-09-26,1955-03-27
Masanao,Kusakabe,14209,Senior Staff,1988-04-06,9999-01-01,1955-10-24
Sudhanshu,Benaini,14242,Senior Staff,1992-06-27,9999-01-01,1955-03-14
Sudhanshu,Benaini,14242,Staff,1985-06-27,1992-06-27,1955-03-14
Miyeon,Olivero,14290,Senior Engineer,1992-03-29,9999-01-01,1955-01-21
Vitaly,Wixon,14340,Engineer,1986-12-19,1995-12-19,1955-01-03
Vitaly,Wixon,14340,Senior Engineer,1995-12-19,9999-01-01,1955-01-03
Otilia,Buescher,14344,Technique Leader,1988-12-16,9999-01-01,1955-02-10
Janche,Erbe,14360,Senior Staff,1997-08-01,9999-01-01,1955-05-25
Yagil,Lueh,14460,Engineer,1988-01-23,1995-01-23,1955-11-28
Yagil,Lueh,14460,Senior Engineer,1995-01-23,9999-01-01,1955-11-28
Kristian,Underwood,14516,Senior Staff,1989-04-08,9999-01-01,1955-10-19
Patricia,Peir,14518,Engineer,1996-02-18,9999-01-01,1955-06-19
Chuanyi,Ranta,14522,Senior Staff,1990-01-14,9999-01-01,1955-08-07
Gao,Condotta,14581,Engineer,1988-06-28,1996-06-28,1955-08-05
Gao,Condotta,14581,Senior Engineer,1996-06-28,9999-01-01,1955-08-05
Gudjon,McClurg,14632,Assistant Engineer,1987-08-01,1994-08-01,1955-08-02
Gudjon,McClurg,14632,Engineer,1994-08-01,2001-08-01,1955-08-02
Gudjon,McClurg,14632,Senior Engineer,2001-08-01,9999-01-01,1955-08-02
Florian,Kuhnemann,14642,Engineer,1987-06-05,1996-06-04,1955-06-29
Florian,Kuhnemann,14642,Senior Engineer,1996-06-04,9999-01-01,1955-06-29
Laurentiu,Glinert,14645,Engineer,1987-05-01,1995-05-01,1955-03-06
Laurentiu,Glinert,14645,Senior Engineer,1995-05-01,9999-01-01,1955-03-06
IEEE,Lorys,14648,Senior Staff,1994-11-16,9999-01-01,1955-03-28
IEEE,Lorys,14648,Staff,1986-11-16,1994-11-16,1955-03-28
Teunis,Angel,14675,Senior Staff,1988-09-25,9999-01-01,1955-08-02
Herbert,Sifakis,14677,Senior Engineer,1987-02-12,9999-01-01,1955-11-29
Alois,Basart,14683,Engineer,1986-12-02,1994-12-02,1955-03-02
Alois,Basart,14683,Senior Engineer,1994-12-02,9999-01-01,1955-03-02
Aron,Lemarechal,14724,Senior Staff,1993-09-10,9999-01-01,1955-12-19
Aron,Lemarechal,14724,Staff,1986-09-10,1993-09-10,1955-12-19
Zhonghua,Kaiser,14785,Senior Engineer,1988-06-23,9999-01-01,1955-04-23
Odysseas,Nishimukai,14814,Senior Staff,1996-10-26,9999-01-01,1955-09-01
Odysseas,Nishimukai,14814,Staff,1987-10-27,1996-10-26,1955-09-01
Gaurav,Masaki,14817,Engineer,1992-12-02,1997-12-02,1955-04-13
Gaurav,Masaki,14817,Senior Engineer,1997-12-02,9999-01-01,1955-04-13
Arto,Meriste,14877,Engineer,1988-06-06,1996-06-06,1955-11-15
Arto,Meriste,14877,Senior Engineer,1996-06-06,9999-01-01,1955-11-15
Satoru,Mukaidono,14928,Senior Staff,1985-05-17,9999-01-01,1955-06-23
Heon,Benveniste,14942,Engineer,1987-11-15,1992-11-14,1955-01-22
Heon,Benveniste,14942,Senior Engineer,1992-11-14,9999-01-01,1955-01-22
Fox,Magliocco,14954,Senior Engineer,1988-08-05,9999-01-01,1955-04-04
Fan,Simmen,14971,Senior Staff,1991-03-25,9999-01-01,1955-04-07
Hyuckchul,Pouyioutas,14983,Senior Staff,1996-12-26,9999-01-01,1955-06-10
Hyuckchul,Pouyioutas,14983,Staff,1988-12-26,1996-12-26,1955-06-10
Sanjay,Koblitz,14993,Engineer,1988-04-20,1994-04-20,1955-10-29
Sanjay,Koblitz,14993,Senior Engineer,1994-04-20,9999-01-01,1955-10-29
Flemming,Kranzdorf,15052,Senior Engineer,1993-01-27,9999-01-01,1955-02-03
Remmert,Bahi,15092,Senior Staff,1986-05-26,9999-01-01,1955-06-22
Pantung,Honglei,15114,Engineer,1998-03-09,9999-01-01,1955-08-07
Neelam,Schach,15193,Senior Engineer,1989-02-14,9999-01-01,1955-12-07
Souichi,Duclos,15196,Engineer,1992-07-09,2001-07-09,1955-03-12
Souichi,Duclos,15196,Senior Engineer,2001-07-09,9999-01-01,1955-03-12
Shuky,Conry,15218,Senior Staff,2001-08-10,9999-01-01,1955-05-30
Shuky,Conry,15218,Staff,1992-08-10,2001-08-10,1955-05-30
Jouko,Zhiwei,15234,Senior Engineer,1987-09-03,9999-01-01,1955-10-18
Eric,Reghbati,15269,Engineer,1986-08-21,1993-08-21,1955-11-01
Eric,Reghbati,15269,Senior Engineer,1993-08-21,9999-01-01,1955-11-01
Jaroslava,Chinal,15330,Senior Staff,1995-05-31,9999-01-01,1955-10-08
Jaroslava,Chinal,15330,Staff,1988-05-30,1995-05-31,1955-10-08
Chaosheng,Luce,15343,Engineer,1985-03-12,1992-03-12,1955-05-21
Chaosheng,Luce,15343,Senior Engineer,1992-03-12,9999-01-01,1955-05-21
Chuanyi,Nilsson,15370,Senior Engineer,1993-12-21,9999-01-01,1955-07-02
Pradeep,Markovitch,15392,Assistant Engineer,1994-07-04,9999-01-01,1955-02-07
Maik,Penttonen,15408,Staff,1996-11-23,9999-01-01,1955-02-27
Zhenbing,Soicher,15479,Engineer,1987-01-25,1994-01-25,1955-10-24
Zhenbing,Soicher,15479,Senior Engineer,1994-01-25,9999-01-01,1955-10-24
Kwok,Trogemann,15480,Engineer,1990-04-29,1999-04-29,1955-08-06
Kwok,Trogemann,15480,Senior Engineer,1999-04-29,9999-01-01,1955-08-06
George,Kowalchuk,15511,Senior Staff,1986-04-20,9999-01-01,1955-12-29
Baoqiu,Azuma,15566,Senior Staff,1988-04-11,9999-01-01,1955-09-25
Huan,Iwayama,15651,Assistant Engineer,1985-11-22,1993-11-22,1955-07-15
Huan,Iwayama,15651,Engineer,1993-11-22,2001-11-22,1955-07-15
Huan,Iwayama,15651,Senior Engineer,2001-11-22,9999-01-01,1955-07-15
Dekang,Ambroszkiewicz,15687,Senior Staff,1996-02-13,9999-01-01,1955-08-26
Dekang,Ambroszkiewicz,15687,Staff,1990-02-13,1996-02-13,1955-08-26
Chenye,Hanratty,15703,Engineer,1994-12-06,9999-01-01,1955-05-02
Reuven,Kushnir,15708,Senior Staff,1995-01-22,9999-01-01,1955-03-04
Reuven,Kushnir,15708,Staff,1990-01-22,1995-01-22,1955-03-04
Insup,Ibel,15715,Staff,1999-09-21,9999-01-01,1955-02-26
Tonny,Taubenfeld,15765,Engineer,1989-02-15,1998-02-15,1955-01-19
Tonny,Taubenfeld,15765,Senior Engineer,1998-02-15,9999-01-01,1955-01-19
Mingsen,Antonisse,15809,Senior Staff,1994-06-07,9999-01-01,1955-05-09
Mingsen,Antonisse,15809,Staff,1988-06-07,1994-06-07,1955-05-09
Magdalena,Rajcani,15819,Senior Staff,1999-08-16,9999-01-01,1955-04-10
Magdalena,Rajcani,15819,Staff,1993-08-16,1999-08-16,1955-04-10
Yannik,Kroll,15877,Engineer,1999-08-10,9999-01-01,1955-03-01
Miquel,Dechter,15880,Technique Leader,1996-12-02,9999-01-01,1955-01-23
Sasan,Azumi,15889,Engineer,1986-02-03,1995-02-03,1955-03-06
Sasan,Azumi,15889,Senior Engineer,1995-02-03,9999-01-01,1955-03-06
Lunjin,Pettis,15892,Engineer,1986-09-20,1991-09-20,1955-01-29
Lunjin,Pettis,15892,Senior Engineer,1991-09-20,9999-01-01,1955-01-29
Kensyu,Shinomoto,15934,Assistant Engineer,1995-08-20,9999-01-01,1955-02-06
Murthy,Rosca,15942,Engineer,1986-09-09,1991-09-09,1955-07-07
Murthy,Rosca,15942,Senior Engineer,1991-09-09,9999-01-01,1955-07-07
Karoline,Versino,15948,Engineer,1986-01-14,1991-01-14,1955-03-05
Karoline,Versino,15948,Senior Engineer,1991-01-14,9999-01-01,1955-03-05
King,Ballarin,15977,Senior Staff,2000-11-02,9999-01-01,1955-04-30
King,Ballarin,15977,Staff,1994-11-03,2000-11-02,1955-04-30
Chaoyi,Heystek,16019,Engineer,1985-08-01,1990-08-01,1955-11-30
Chaoyi,Heystek,16019,Senior Engineer,1990-08-01,9999-01-01,1955-11-30
Tse,Crabtree,16126,Staff,1997-10-10,9999-01-01,1955-09-23
Kerryn,Belinskaya,16130,Assistant Engineer,1993-07-26,2002-07-26,1955-09-07
Kerryn,Belinskaya,16130,Engineer,2002-07-26,9999-01-01,1955-09-07
Ronnie,Lanzelotte,16229,Senior Staff,1996-09-17,9999-01-01,1955-12-24
Ung,Babu,16230,Senior Staff,1996-02-19,9999-01-01,1955-07-16
Sushant,Baba,16233,Senior Staff,1987-03-24,9999-01-01,1955-11-17
Billie,Bazzichi,16324,Staff,1998-05-04,9999-01-01,1955-07-23
Boutros,Fendler,16341,Senior Staff,1999-12-08,9999-01-01,1955-09-18
Zhilian,Chleq,16380,Senior Staff,1994-06-01,9999-01-01,1955-05-02
Zhilian,Chleq,16380,Staff,1986-06-01,1994-06-01,1955-05-02
Chaoyi,Talmon,16382,Senior Engineer,1987-05-05,9999-01-01,1955-05-23
Limsoon,Krzyzanowski,16398,Senior Staff,1993-07-31,9999-01-01,1955-01-24
Rafols,Rabehasaina,16404,Engineer,1987-07-19,1993-07-18,1955-07-02
Rafols,Rabehasaina,16404,Senior Engineer,1993-07-18,9999-01-01,1955-07-02
Idoia,Beerel,16425,Senior Engineer,1989-12-15,9999-01-01,1955-10-10
Jouko,Chinin,16446,Senior Staff,1992-07-05,9999-01-01,1955-05-10
Jouko,Chinin,16446,Staff,1987-07-06,1992-07-05,1955-05-10
Bogdan,Birta,16471,Staff,1999-08-03,9999-01-01,1955-10-05
Jixiang,Eiter,16479,Senior Staff,1992-04-13,9999-01-01,1955-01-23
Jixiang,Eiter,16479,Staff,1986-04-14,1992-04-13,1955-01-23
Sanjay,Perin,16486,Senior Staff,1992-03-17,9999-01-01,1955-12-22
Sanjay,Perin,16486,Staff,1986-03-18,1992-03-17,1955-12-22
Arunas,Yemenis,16487,Senior Staff,2001-10-18,9999-01-01,1955-01-09
Arunas,Yemenis,16487,Staff,1992-10-18,2001-10-18,1955-01-09
Muzhong,Thiria,16490,Senior Staff,1987-04-06,9999-01-01,1955-05-16
Mong,Cromarty,16504,Senior Engineer,1992-05-06,9999-01-01,1955-02-14
Vishwani,Honglei,16607,Senior Staff,1993-09-17,9999-01-01,1955-02-19
Vishwani,Honglei,16607,Staff,1987-09-18,1993-09-17,1955-02-19
Yongdong,Heyers,16657,Engineer,1986-07-12,1992-07-11,1955-05-29
Yongdong,Heyers,16657,Senior Engineer,1992-07-11,9999-01-01,1955-05-29
Georgi,Peris,16672,Senior Staff,1993-03-13,9999-01-01,1955-04-25
Georgi,Peris,16672,Staff,1986-03-13,1993-03-13,1955-04-25
Duke,Takanami,16674,Technique Leader,1988-08-30,9999-01-01,1955-11-13
Domenick,Cummings,16679,Engineer,1994-07-17,9999-01-01,1955-07-26
Hatem,Ghandeharizadeh,16683,Senior Engineer,1986-11-19,9999-01-01,1955-05-30
Mohd,Randt,16723,Senior Staff,1993-12-24,9999-01-01,1955-05-30
Mohd,Randt,16723,Staff,1986-12-24,1993-12-24,1955-05-30
Kiyokazu,Katiyar,16808,Senior Staff,1995-11-10,9999-01-01,1955-04-17
Kiyokazu,Katiyar,16808,Staff,1987-11-10,1995-11-10,1955-04-17
JiYoung,Eppinger,16862,Engineer,1987-04-27,1992-04-26,1955-11-03
JiYoung,Eppinger,16862,Senior Engineer,1992-04-26,9999-01-01,1955-11-03
Nikolaos,Radhakrishnan,16875,Engineer,1997-10-26,9999-01-01,1955-03-24
Sangeeta,Marrakchi,16955,Senior Staff,2001-03-14,9999-01-01,1955-09-05
Sangeeta,Marrakchi,16955,Staff,1994-03-14,2001-03-14,1955-09-05
Sanjit,Braccini,16969,Engineer,1988-10-26,1997-10-26,1955-02-10
Sanjit,Braccini,16969,Senior Engineer,1997-10-26,9999-01-01,1955-02-10
Berhard,Tasistro,17018,Engineer,1986-02-20,1993-02-20,1955-04-01
Berhard,Tasistro,17018,Senior Engineer,1993-02-20,9999-01-01,1955-04-01
Marin,Wixon,17055,Senior Engineer,1988-08-06,9999-01-01,1955-01-25
Xuedong,Gelosh,17098,Senior Engineer,1998-08-26,9999-01-01,1955-02-22
Sandeepan,Compeau,17101,Engineer,1988-01-18,1995-01-18,1955-06-14
Sandeepan,Compeau,17101,Senior Engineer,1995-01-18,9999-01-01,1955-06-14
